MIA,Alonzo Mourning,13130000
MIA,Tim Hardaway,5600000
MIA,Jamal Mashburn,5033000
MIA,P.J. Brown,4480000
MIA,Dan Majerle,3290000
MIA,Voshon Lenard,2837000
MIA,Mark Strickland,2100000
MIA,Duane Causwell,1454000
MIA,Terry Mills,1145000
MIA,Terry Porter,1000000
MIA,Blue Edwards,850000
MIA,Keith Askins,725000
MIA,Marty Conlon,662500
MIA,Rex Walters,537500
ORL,Anfernee Hardaway,8505000
ORL,Horace Grant,7843000
ORL,Mark Price,5488000
ORL,Isaac Austin,5000000
ORL,Nick Anderson,3200000
ORL,Derek Strong,3000000
ORL,Darrell Armstrong,2900000
ORL,Gerald Wilkins,2000000
ORL,Yinka Dare,1657000
ORL,Bo Outlaw,1150000
ORL,Michael Doleac,1050000
ORL,Danny Schayes,1000000
ORL,Dominique Wilkins,1000000
ORL,Matt Harpring,900000
ORL,B.J. Armstrong,850000
ORL,Jonathan Kerner,287500
ORL,Miles Simon,287500
PHI,Matt Geiger,6800000
PHI,Theo Ratliff,6000000
PHI,Derrick Coleman,5600000
PHI,Tyrone Hill,5352000
PHI,Allen Iverson,3537000
PHI,Brian Shaw,3400000
PHI,Rex Walters,1625000
PHI,Aaron McKie,1430000
PHI,Larry Hughes,1330000
PHI,Rick Mahorn,1000000
PHI,George Lynch,1000000
PHI,Harvey Grant,1000000
PHI,Anthony Parker,867120
PHI,Eric Snow,846300
PHI,Doug Overton,600000
PHI,Nazr Mohammed,535000
PHI,Jerald Honeycutt,300000
PHI,Casey Shaw,287500
NYK,Patrick Ewing,18500000
NYK,Larry Johnson,10186000
NYK,Latrell Sprewell,8300000
NYK,Allan Houston,7000000
NYK,Chris Childs,3640000
NYK,Marcus Camby,3164000
NYK,Kurt Thomas,1750000
NYK,Buck Williams,1670000
NYK,Charlie Ward,1221000
NYK,Dennis Scott,1000000
NYK,Herb Williams,1000000
NYK,David Wingate,1000000
NYK,Mirsad Turkcan,739400
NYK,Ben Davis,425000
NYK,Rick Brunson,350000
BOS,Kenny Anderson,5845000
BOS,Dana Barros,3500000
BOS,Greg Minor,2520000
BOS,Dino Radja,2500000
BOS,Pervis Ellison,2420000
BOS,Popeye Jones,2381000
BOS,Tony Battie,2238000
BOS,Antoine Walker,2107000
BOS,Ron Mercer,2033000
BOS,Vitaly Potapenko,1339000
BOS,Paul Pierce,1165000
BOS,Walter McCarty,975000
BOS,Dontae' Jones,953856
BOS,Dwayne Schintzius,662500
BOS,Eric Riley,537500
BOS,Bruce Bowen,507000
BOS,Marlon Garnett,287500
BOS,Damon Jones,287500
WAS,Juwan Howard,13125000
WAS,Otis Thorpe,4400000
WAS,Calbert Cheaney,4000000
WAS,Mitch Richmond,2500000
WAS,Tracy Murray,2380000
WAS,Terry Davis,1750000
WAS,Chris Whitney,1440000
WAS,Tim Legler,1320000
WAS,Lorenzo Williams,1316000
WAS,Ben Wallace,800000
WAS,John Coker,350000
WAS,Jeff McInnis,350000
WAS,Randell Jackson,287500
NJN,Jayson Williams,11000000
NJN,Kendall Gill,5000000
NJN,Rony Seikaly,4252000
NJN,Jim McIlvaine,4200000
NJN,Keith Van Horn,3054000
NJN,Stephon Marbury,2562000
NJN,Michael Cage,2350000
NJN,Elliot Perry,2000000
NJN,Kerry Kittles,1762000
