NJN,Jayson Williams,15125000
NJN,Keith Van Horn,10865250
NJN,Jason Kidd,8447500
NJN,Kerry Kittles,8166667
NJN,Chris Dudley,6200000
NJN,Jim McIlvaine,6000000
NJN,Todd MacCulloch,4538000
NJN,Kenyon Martin,3801960
NJN,Aaron Williams,2475000
NJN,Lucious Harris,2400000
NJN,Jamie Feick,2400000
NJN,Richard Jefferson,1379400
NJN,Jason Collins,1067400
NJN,Brandon Armstrong,865800
NJN,Derrick Dial,540850
NJN,Steve Goodrich,465850
NJN,Brian Scalabrine,332817
NJN,Reggie Slater,122218
BOS,Antoine Walker,11250000
BOS,Kenny Anderson,8350000
BOS,Vitaly Potapenko,4762500
BOS,Eric Williams,4448000
BOS,Tony Battie,3600000
BOS,Walter McCarty,3125000
BOS,Randy Brown,2475000
BOS,Paul Pierce,2051271
BOS,Joe Johnson,1608840
BOS,Kedrick Brown,1528440
BOS,Roshown McLeod,1509001
BOS,Joseph Forte,939360
BOS,Milt Palacio,690000
BOS,Erick Strickland,637415
BOS,Mark Blount,540850
ORL,Grant Hill,10865250
ORL,Tracy McGrady,10865250
ORL,Darrell Armstrong,4005000
ORL,Jud Buechler,3600000
ORL,Andrew DeClercq,2900000
ORL,Mike Miller,2494080
ORL,Horace Grant,2419580
ORL,Patrick Ewing,2118420
ORL,Pat Garrity,1569691
ORL,Steven Hunter,1244880
ORL,Don Reid,1000000
ORL,Jeryl Sasser,901800
ORL,Monty Williams,778350
ORL,Laron Profit,630850
ORL,Troy Hudson,590850
PHI,Dikembe Mutombo,14315790
PHI,Allen Iverson,11250000
PHI,Derrick Coleman,8710000
PHI,Matt Geiger,8142160
PHI,Aaron McKie,4000000
PHI,Eric Snow,3750000
PHI,Matt Harpring,1908401
PHI,Corie Blount,1609235
PHI,Speedy Claxton,1006200
PHI,Vonteego Cummings,810000
PHI,Samuel Dalembert,771480
PHI,Raja Bell,540850
PHI,Michael Ruffin,468297
PHI,Damone Brown,332817
PHI,Alvin Jones,332817
PHI,Tim James,105532
PHI,Ira Bowman,19787
WAS,Mitch Richmond,10000000
